T,nu_Sigma_f,v,LAMBDA,k_eff,reactivity,total_beta,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7
273.15,0.02168043423919962,1756392.3452488612,2.626095332784088e-05,1.008558202087714,0.008485580772630173,0.007393776882955064,0.00021370213376271138,0.0010700660613515763,0.0006187424530319115,0.0013851730618906224,0.0023758127010719762,0.0008049170897764947,0.0006664840298275755,0.00025887935224219586,0.012466699999999982,0.0282917000000002,0.04252440000000013,0.13304200000000047,0.2924672000000002,0.6664876999999981,1.6347809999999852,3.5546000000000038
300.0,0.021577604283373023,1760858.6628602669,2.6319175348221277e-05,1.0059009076606353,0.0058662912178484156,0.007393776882955064,0.00021370213376271138,0.0010700660613515763,0.0006187424530319115,0.0013851730618906224,0.0023758127010719762,0.0008049170897764947,0.0006664840298275755,0.00025887935224219586,0.012466699999999982,0.0282917000000002,0.04252440000000013,0.13304200000000047,0.2924672000000002,0.6664876999999981,1.6347809999999852,3.5546000000000038
400.0,0.021537637828355802,1758458.8157550714,2.6404000298484538e-05,1.0022386816937345,0.0022336811925391577,0.007393776882955064,0.00021370213376271138,0.0010700660613515763,0.0006187424530319115,0.0013851730618906224,0.0023758127010719762,0.0008049170897764947,0.0006664840298275755,0.00025887935224219586,0.012466699999999982,0.0282917000000002,0.04252440000000013,0.13304200000000047,0.2924672000000002,0.6664876999999981,1.6347809999999852,3.5546000000000038
500.0,0.021430293604785242,1749069.1301145193,2.6678714778941728e-05,0.9971936214763096,-0.002814276448675658,0.007393776882955064,0.00021370213376271138,0.0010700660613515763,0.0006187424530319115,0.0013851730618906224,0.0023758127010719762,0.0008049170897764947,0.0006664840298275755,0.00025887935224219586,0.012466699999999982,0.0282917000000002,0.04252440000000013,0.13304200000000047,0.2924672000000002,0.6664876999999981,1.6347809999999852,3.5546000000000038
600.0,0.021611378285323203,1779886.8952670211,2.5997113437381896e-05,0.9991314753017517,-0.0008692796891279674,0.007393776882955064,0.00021370213376271138,0.0010700660613515763,0.0006187424530319115,0.0013851730618906224,0.0023758127010719762,0.0008049170897764947,0.0006664840298275755,0.00025887935224219586,0.012466699999999982,0.0282917000000002,0.04252440000000013,0.13304200000000047,0.2924672000000002,0.6664876999999981,1.6347809999999852,3.5546000000000038
700.0,0.021647776304950645,1741764.1434522702,2.6521455999365596e-05,1.0030825613652434,0.0030730883817259433,0.007393776882955064,0.00021370213376271138,0.0010700660613515763,0.0006187424530319115,0.0013851730618906224,0.0023758127010719762,0.0008049170897764947,0.0006664840298275755,0.00025887935224219586,0.012466699999999982,0.0282917000000002,0.04252440000000013,0.13304200000000047,0.2924672000000002,0.6664876999999981,1.6347809999999852,3.5546000000000038
800.0,0.021344319676977138,1773090.5224227146,2.6423282916228633e-05,0.9887157830926387,-0.011413003716866902,0.007393776882955064,0.00021370213376271138,0.0010700660613515763,0.0006187424530319115,0.0013851730618906224,0.0023758127010719762,0.0008049170897764947,0.0006664840298275755,0.00025887935224219586,0.012466699999999982,0.0282917000000002,0.04252440000000013,0.13304200000000047,0.2924672000000002,0.6664876999999981,1.6347809999999852,3.5546000000000038
900.0,0.021592289238134197,1780090.765852319,2.6017116612971465e-05,1.000978187121993,0.0009772312070110273,0.007393776882955064,0.00021370213376271138,0.0010700660613515763,0.0006187424530319115,0.0013851730618906224,0.0023758127010719762,0.0008049170897764947,0.0006664840298275755,0.00025887935224219586,0.012466699999999982,0.0282917000000002,0.04252440000000013,0.13304200000000047,0.2924672000000002,0.6664876999999981,1.6347809999999852,3.5546000000000038
1000.0,0.021150502149782813,1770128.8087359783,2.6710034378683643e-05,0.9839883175898678,-0.016272228159527745,0.007393776882955064,0.00021370213376271138,0.0010700660613515763,0.0006187424530319115,0.0013851730618906224,0.0023758127010719762,0.0008049170897764947,0.0006664840298275755,0.00025887935224219586,0.012466699999999982,0.0282917000000002,0.04252440000000013,0.13304200000000047,0.2924672000000002,0.6664876999999981,1.6347809999999852,3.5546000000000038
1100.0,0.02129990778911111,1765565.4421587095,2.659123187042803e-05,0.9823286102293383,-0.01798928544546423,0.007393776882955064,0.00021370213376271138,0.0010700660613515763,0.0006187424530319115,0.0013851730618906224,0.0023758127010719762,0.0008049170897764947,0.0006664840298275755,0.00025887935224219586,0.012466699999999982,0.0282917000000002,0.04252440000000013,0.13304200000000047,0.2924672000000002,0.6664876999999981,1.6347809999999852,3.5546000000000038
