T,reactivity,LAMBDA,total_beta,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7
1200.0,-0.013404898982107899,2.6157030001686377e-05,0.0073839961860783475,0.00021377252581053933,0.0010695664009476961,0.0006185924795782151,0.0013842265111379897,0.0023736440388283813,0.0008021160685215047,0.0006647184897166655,0.0002573596715373553,0.012466699999998021,0.02829170000000033,0.04252439999999966,0.13304199999999372,0.2924671999999377,0.6664877000002968,1.634781000000657,3.5546000000000584
1300.0,-0.015129838553397596,2.617597778059422e-05,0.007384949491527606,0.00021376661139732619,0.0010696246486566615,0.0006186067727370042,0.0013843229412984991,0.0023738659342604144,0.0008023816798540759,0.0006648829461398558,0.00025749795718376864,0.012466699999998339,0.02829170000000006,0.042524400000000136,0.13304199999999974,0.29246719999993204,0.6664877000003003,1.6347810000006788,3.5545999999999434
1400.0,-0.016826684258685356,2.6167315784094954e-05,0.0073862471656977475,0.00021375729431197534,0.0010697040912320372,0.0006186200107325225,0.0013844503060612215,0.002374180045964399,0.0008027429388047742,0.0006651041964247918,0.0002576882821660262,0.012466699999998073,0.028291699999998518,0.0425243999999991,0.13304199999999555,0.2924671999999286,0.6664877000003004,1.6347810000006702,3.554599999999867
1500.0,-0.018501399841579856,2.6182376014765793e-05,0.007387465415414165,0.00021375034627591665,0.001069784142903783,0.0006186357672071175,0.0013845746965764308,0.0023744801423418714,0.0008030731810543477,0.0006653069871693877,0.00025786015188531064,0.012466699999998464,0.028291699999998702,0.04252439999999934,0.13304199999999458,0.29246719999993376,0.6664877000003147,1.6347810000006713,3.5545999999999798
1600.0,-0.02037034200655966,2.6197233301468185e-05,0.0073888798046744955,0.000213741871535956,0.0010698755897654473,0.0006186547564830735,0.0013847187206049174,0.002374821285892344,0.0008034613395797088,0.0006655453273062299,0.000258060913506819,0.0124666999999983,0.02829169999999891,0.04252439999999881,0.1330419999999969,0.29246719999994025,0.6664877000003084,1.6347810000006713,3.55459999999997
1700.0,-0.021893129019397946,2.6198536477818758e-05,0.00738979855448522,0.00021373321599055584,0.0010699290604861212,0.0006186578513931226,0.0013848034780456176,0.0023750477114912387,0.0008037231257374242,0.00066570333706561,0.00025820077427553023,0.012466699999998566,0.02829169999999909,0.04252439999999763,0.13304199999999766,0.2924671999999299,0.666487700000325,1.6347810000006693,3.55459999999989
1800.0,-0.0236833536319056,2.6202975452158643e-05,0.007390965028281005,0.00021372782688895502,0.0010700042669126992,0.0006186795857360047,0.0013849261486721118,0.0023753212211369075,0.0008040404057654793,0.0006659011651106189,0.0002583644080582287,0.01246669999999843,0.028291699999998487,0.042524399999998616,0.13304199999999475,0.29246719999993487,0.6664877000003053,1.6347810000006993,3.5545999999998967
1900.0,-0.02550045718851812,2.621152051847135e-05,0.007392231267230178,0.00021371916096633587,0.0010700885734332341,0.0006186899221107918,0.0013850519981666086,0.002375642446493079,0.000804385315479011,0.0006661097927924389,0.00025854405778868013,0.01246669999999856,0.02829169999999831,0.042524399999998276,0.13304199999999783,0.2924671999999247,0.6664877000003083,1.6347810000006988,3.554599999999921
2000.0,-0.027145773712061866,2.6229820100211718e-05,0.007393298026615381,0.00021371350168790214,0.001070156160491534,0.0006187089326481586,0.0013851629380099472,0.0023758883006972844,0.0008046801482633802,0.0006662928557288357,0.00025869518908833893,0.012466699999998209,0.028291699999997918,0.04252439999999798,0.13304199999999547,0.29246719999993315,0.6664877000003271,1.6347810000006797,3.5545999999998794
2073.15,-0.028342560097785928,2.6230139438876608e-05,0.0073937116047163185,0.0002137100926705305,0.0010701737980521745,0.0006187162045465312,0.001385201870325361,0.002375971742233069,0.0008048036278693991,0.000666371571581665,0.00025876269743758826,0.012466699999998384,0.02829169999999771,0.04252439999999772,0.13304199999999572,0.2924671999999299,0.6664877000003352,1.634781000000704,3.554599999999973
