T_fuel,nu_Sigma_f1,v,mean_generation_time,k_eff,reactivity
273.15,0.021680434239199624,1756392.3452488622,2.629145890627663e-05,1.00856,0.00849
700.0,0.021647776304950586,1741764.1434522686,2.629145890627663e-05,1.00308,0.00307
1200.0,0.021405249381847544,1776908.326262582,2.629145890627663e-05,0.98386,-0.01641
