T,node_id,D1,D2,Sigma_a1,Sigma_a2,nu_Sigma_f1,nu_Sigma_f2,kappa_Sigma_f1,kappa_Sigma_f2,Sigma_s12,inv_v1,inv_v2,beta_1,lambda_1,beta_2,lambda_2,beta_3,lambda_3,beta_4,lambda_4,beta_5,lambda_5,beta_6,lambda_6,beta_7,lambda_7,beta_8,lambda_8
600.0,12,1.0123698092296645,0.33393701145688937,0.009024885852050706,0.0664168645910136,0.005017243289138232,0.07541340191054913,377702.47413505946,5999758.326077867,0.02101838398894089,6.136258732209586e-08,2.5336540947201513e-06,0.00021702083227468768,0.012466699999999999,0.0010350296433095118,0.028291699999999996,0.0006138260061542187,0.042524400000000004,0.001332769139787861,0.133042,0.0022436478006656177,0.2924671999999998,0.0006637937432195844,0.6664877000000001,0.0005808586083802028,1.6347810000000007,0.0001854887283093221,3.5545999999999993
600.0,13,1.1327655094769913,0.3274543580427628,0.007730153635720654,0.062498090174604067,0.0044888367390083315,0.059099188603944246,331852.10641779454,4701860.289920842,0.02156787013952532,6.841367593870497e-08,2.5366757995191518e-06,0.000216032659856377,0.012466700000000004,0.0010430083976668847,0.028291700000000003,0.0006138470673303441,0.04252440000000001,0.001343906241267747,0.13304199999999997,0.0022752771630721895,0.29246720000000004,0.0006956751594792491,0.6664877000000006,0.000599717256840477,1.634781,0.00020229931557687284,3.554599999999998
600.0,14,1.0724861761922397,0.32733843755893194,0.009439526941723756,0.06994342370230226,0.005219696142630348,0.0778169843350307,396782.2711076113,6191255.228011202,0.021389604657555586,6.97750343361215e-08,2.6001642290900987e-06,0.0002171733834214728,0.012466700000000006,0.0010365485442357712,0.028291700000000006,0.000614348589270862,0.042524400000000004,0.0013345397632984646,0.133042,0.002247154583905114,0.29246720000000004,0.0006657648312250699,0.6664876999999999,0.0005820752685196301,1.6347810000000003,0.00018615190981011238,3.5545999999999984
600.0,15,1.0407128501033562,0.324964076142174,0.007465026247604387,0.07435992335477254,0.004516291303402303,0.07880748910552039,343891.2639866829,6269501.459963852,0.021328448972097597,6.253825156831235e-08,2.5401893633847714e-06,0.00021755710674588292,0.012466699999999992,0.0010316178114142907,0.028291699999999996,0.0006140070905520607,0.04252440000000001,0.0013279101025033503,0.13304200000000005,0.002229275844489772,0.2924672,0.0006488451194522194,0.6664877000000001,0.0005720433971514713,1.6347809999999998,0.00017748151810341868,3.5546
600.0,16,1.0362957121931555,0.3235136307146674,0.007481907165005198,0.06634408554089886,0.004210577399847553,0.0666739804110271,320665.30573512043,5304288.161223546,0.02204856423316843,7.007257924698589e-08,2.5509492570585434e-06,0.00021729279707117402,0.012466700000000004,0.0010354044953762688,0.028291699999999986,0.0006143459766652187,0.042524400000000004,0.001333007104280791,0.13304199999999997,0.002242762057897868,0.2924672,0.0006615858438716675,0.6664877000000003,0.0005796168229503653,1.6347809999999996,0.00018396469631297703,3.554599999999999
600.0,17,0.8354175922211531,0.3123833455608545,0.007313057457249978,0.06805446448943442,0.0041416361161470995,0.06614368731933555,316290.4204274793,5261894.060485355,0.012639762735530809,6.183160062482518e-08,2.6049177503740214e-06,0.00021742928414243272,0.012466699999999997,0.0010340081074843516,0.028291700000000003,0.0006143945927552757,0.04252440000000001,0.0013312487962561601,0.1330419999999999,0.0022375423066630217,0.29246720000000004,0.0006568979045345531,0.6664877000000002,0.00057690623142427,1.6347809999999998,0.00018154221529161448,3.5545999999999993
600.0,18,1.0710649675797204,0.3293070642861361,0.009011279097730163,0.07664687238834536,0.005523473559765289,0.09016196989893133,419352.65486026806,7172916.130601954,0.01904196789236289,6.214452269325715e-08,2.515138267626251e-06,0.0002174260449847816,0.012466699999999989,0.001032912919770235,0.028291700000000034,0.0006142789283104865,0.04252439999999999,0.0013300429812090845,0.133042,0.002234482891289804,0.2924671999999998,0.0006547059664290689,0.6664876999999999,0.0005756802004531018,1.6347810000000007,0.0001806197339734769,3.554599999999999
600.0,19,1.0930463427233985,0.33605849926402026,0.008835372014317451,0.07324656076850916,0.005156568770565611,0.08750515009322714,389933.83876775595,6961610.829937962,0.01888333885008086,6.011632632469597e-08,2.531496641523951e-06,0.00021721084637614199,0.012466700000000008,0.0010355658548961812,0.028291700000000003,0.0006141644737065462,0.0425244,0.0013331806031972333,0.13304200000000022,0.002243871349152532,0.2924671999999998,0.0006626348381024165,0.6664876999999994,0.0005801788243648796,1.634781000000001,0.00018459375858571956,3.554600000000001
600.0,20,1.0960160576377491,0.3270627652624924,0.00839671896127372,0.07540781858424976,0.005151757639092029,0.08969922541304057,390105.95313483744,7136072.625068422,0.018702630962320044,5.9047619745308666e-08,2.5303731620302054e-06,0.00021730478753985164,0.012466699999999978,0.0010347368681466653,0.028291699999999993,0.0006142089932931648,0.04252439999999997,0.0013321152986668272,0.133042,0.0022406631673785476,0.2924671999999999,0.0006596734867012741,0.6664876999999999,0.0005784618418416614,1.6347809999999992,0.00018304299847369575,3.5545999999999958
600.0,21,1.0864636812849935,0.33937061285900033,0.008627623774774376,0.07425787239601693,0.005127443621872375,0.08960736485270282,389084.3918931181,7128791.10888027,0.018908073956992105,6.309211705523491e-08,2.5173287316033163e-06,0.00021735930399737665,0.012466699999999999,0.0010344407101164424,0.02829170000000002,0.0006142188088641631,0.04252439999999997,0.0013316601201136904,0.13304199999999972,0.002239348832405512,0.2924671999999997,0.000658202818133599,0.6664876999999997,0.0005775847706447066,1.6347809999999992,0.00018224702374248058,3.5545999999999993
600.0,22,1.0454282702720523,0.33742171535302723,0.0083647923650085,0.0708206558414097,0.004874187169933397,0.08415696890196163,365673.1398988656,6695248.801716359,0.017310022782249843,5.9069223826365786e-08,2.5418080355136573e-06,0.00021703974053848075,0.012466700000000002,0.0010355787447518055,0.028291699999999975,0.0006137079922854874,0.04252439999999999,0.0013331144219060375,0.13304199999999988,0.002245219869120937,0.2924671999999999,0.0006639595605988867,0.6664876999999996,0.0005808282908014736,1.6347809999999974,0.00018550380694112674,3.554600000000001
600.0,23,1.0951814933611341,0.33878988216233913,0.008921781319437166,0.07359961321817461,0.004973177536939634,0.08904724566866906,377161.4023895204,7084182.397840935,0.01939989936921476,6.204906604065451e-08,2.5409517506636863e-06,0.00021733490143156886,0.012466699999999997,0.0010349035002668926,0.028291700000000013,0.0006141924784685081,0.04252439999999999,0.0013321653902770244,0.1330419999999999,0.002240927706339353,0.29246720000000015,0.0006593414245085109,0.6664876999999997,0.0005782163546063416,1.634781000000002,0.0001828103080719852,3.554600000000002
600.0,24,1.092304457925877,0.33017080874723886,0.008010578187493152,0.07566753874054634,0.005279669963777046,0.08859667047195645,401497.27324883064,7047969.7677447405,0.018893711386495957,6.013399933669798e-08,2.5011998741490554e-06,0.00021737971999075012,0.012466699999999992,0.0010348617873838914,0.0282917,0.0006145789131560348,0.04252439999999996,0.001332529776267809,0.1330420000000001,0.0022406041499488717,0.29246719999999987,0.0006600579490393433,0.6664876999999998,0.0005788526303579567,1.634781000000002,0.0001831731652314244,3.554600000000003
600.0,25,1.0862071045713921,0.33537352166555623,0.008414869047071073,0.07183963327175318,0.004965641685655496,0.08654732310009113,376847.6697209355,6885198.044858109,0.01859219535298806,5.902918933540192e-08,2.523517063167402e-06,0.00021733194592258063,0.012466699999999999,0.0010349270442905018,0.028291700000000006,0.0006142739075088382,0.042524399999999976,0.001332318974755071,0.13304200000000008,0.0022410817089323644,0.2924672000000001,0.0006597897231163938,0.666487699999999,0.0005785363509362111,1.6347809999999992,0.00018306229492555067,3.554600000000002
600.0,26,1.057585793682099,0.3318011310360768,0.008981834663239398,0.07500419938302118,0.005357830357561121,0.08870296239849824,408459.68037548044,7056654.639467621,0.019090715087913296,6.174280802175049e-08,2.4836251625619223e-06,0.00021752305943342437,0.01246670000000002,0.001033376243703105,0.028291700000000006,0.0006147178375504279,0.04252439999999998,0.0013307908263701913,0.13304199999999994,0.0022351110725071623,0.2924671999999998,0.0006554687896039962,0.6664877,0.0005762634521993233,1.6347810000000007,0.0001808206721651498,3.5545999999999984
900.0,0,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900.0,1,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900.0,2,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900.0,3,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900.0,4,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900.0,5,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900.0,6,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900.0,7,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900.0,8,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900.0,9,1.052621498156358,0.32748041181082976,0.008043844115294786,0.07734200538738105,0.005067299973622236,0.0832181220865039,385795.4704248892,6621259.606012141,0.02214309907031902,6.50079073130845e-08,2.5600126002302634e-06,0.00021736906905206045,0.012466699999999999,0.0010344376265225763,0.0282917,0.0006141879694490661,0.04252440000000001,0.0013315544929962978,0.1330420000000001,0.002239100633323125,0.2924672,0.0006578197986404254,0.6664876999999995,0.0005773111807527423,1.6347810000000023,0.0001819814494025706,3.5546
900.0,10,0.815424174778868,0.312267023175703,0.007274128505816949,0.07134596360609069,0.004602855277574401,0.08090548835136169,343925.75536629726,6436931.979144793,0.010068332311808615,5.2390473684938194e-08,2.5670572139073257e-06,0.0002169020279051498,0.0124667,0.0010368981023845317,0.02829170000000001,0.000613512018110873,0.042524400000000025,0.001334634513252865,0.13304199999999997,0.0022503946404462474,0.2924672,0.0006680643646594101,0.6664876999999999,0.0005831343601253574,1.6347810000000007,0.00018768575543638556,3.554599999999999
900.0,11,1.101975755120851,0.3202513653102729,0.007641955686755908,0.06537329594131872,0.004937137057319209,0.06888534333258706,373757.9089038784,5480540.928613179,0.021130429088641964,5.860406527092078e-08,2.4714381913479496e-06,0.0002169734313258902,0.012466699999999999,0.0010387302160378277,0.028291699999999993,0.0006149900059115767,0.042524400000000004,0.0013382580206985743,0.133042,0.002255472273038553,0.29246719999999987,0.000675834427761356,0.6664876999999998,0.0005883711222490114,1.6347810000000014,0.00019141781299530857,3.5546000000000015
